     device   stage   mode                                model   backend a_dtype b_dtype  bs  tokens  group_size     latency
NVIDIA-L40S  decode cgraph                    google/gemma-2-9b torch-f16 float16 float16   1    2048          -1   33.604448
NVIDIA-L40S  decode cgraph                    google/gemma-2-9b   bitblas float16   uint8   1    2048         128   19.506271
NVIDIA-L40S  decode cgraph                    google/gemma-2-9b     mutis float16   uint8   1    2048         128   18.253263
NVIDIA-L40S  decode cgraph                    google/gemma-2-9b   bitblas float16  uint4b   1    2048         128   13.230752
NVIDIA-L40S  decode cgraph                    google/gemma-2-9b     mutis float16  uint4b   1    2048         128   13.549568
NVIDIA-L40S  decode cgraph                    google/gemma-2-9b   bitblas float16  uint2b   1    2048         128   11.207760
NVIDIA-L40S  decode cgraph                    google/gemma-2-9b     mutis float16  uint2b   1    2048         128   11.966480
NVIDIA-L40S  decode cgraph                    google/gemma-2-9b torch-f16 float16 float16  16    2048          -1   35.047136
NVIDIA-L40S  decode cgraph                    google/gemma-2-9b   bitblas float16   uint8  16    2048         128   31.232352
NVIDIA-L40S  decode cgraph                    google/gemma-2-9b     mutis float16   uint8  16    2048         128   18.474095
NVIDIA-L40S  decode cgraph                    google/gemma-2-9b   bitblas float16  uint4b  16    2048         128   86.588142
NVIDIA-L40S  decode cgraph                    google/gemma-2-9b     mutis float16  uint4b  16    2048         128   13.225680
NVIDIA-L40S  decode cgraph                    google/gemma-2-9b   bitblas float16  uint2b  16    2048         128   82.854034
NVIDIA-L40S  decode cgraph                    google/gemma-2-9b     mutis float16  uint2b  16    2048         128   11.775376
NVIDIA-L40S prefill cgraph                    google/gemma-2-9b torch-f16 float16 float16   1    2048          -1  285.707764
NVIDIA-L40S prefill cgraph                    google/gemma-2-9b   bitblas float16   uint8   1    2048         128  386.060547
NVIDIA-L40S prefill cgraph                    google/gemma-2-9b     mutis float16   uint8   1    2048         128  318.089020
NVIDIA-L40S prefill cgraph                    google/gemma-2-9b   bitblas float16  uint4b   1    2048         128  363.050156
NVIDIA-L40S prefill cgraph                    google/gemma-2-9b     mutis float16  uint4b   1    2048         128  312.430389
NVIDIA-L40S prefill cgraph                    google/gemma-2-9b   bitblas float16  uint2b   1    2048         128  367.203506
NVIDIA-L40S prefill cgraph                    google/gemma-2-9b     mutis float16  uint2b   1    2048         128  310.080994
NVIDIA-L40S  decode cgraph      Qwen/Qwen2.5-Coder-32B-Instruct   bitblas float16   uint8   1    2048         128   50.633310
NVIDIA-L40S  decode cgraph      Qwen/Qwen2.5-Coder-32B-Instruct     mutis float16   uint8   1    2048         128   49.953615
NVIDIA-L40S  decode cgraph      Qwen/Qwen2.5-Coder-32B-Instruct   bitblas float16  uint4b   1    2048         128   30.172352
NVIDIA-L40S  decode cgraph      Qwen/Qwen2.5-Coder-32B-Instruct     mutis float16  uint4b   1    2048         128   29.866688
NVIDIA-L40S  decode cgraph      Qwen/Qwen2.5-Coder-32B-Instruct   bitblas float16  uint2b   1    2048         128   23.138848
NVIDIA-L40S  decode cgraph      Qwen/Qwen2.5-Coder-32B-Instruct     mutis float16  uint2b   1    2048         128   23.461136
NVIDIA-L40S  decode cgraph      Qwen/Qwen2.5-Coder-32B-Instruct   bitblas float16   uint8  16    2048         128   88.750080
NVIDIA-L40S  decode cgraph      Qwen/Qwen2.5-Coder-32B-Instruct     mutis float16   uint8  16    2048         128   50.802496
NVIDIA-L40S  decode cgraph      Qwen/Qwen2.5-Coder-32B-Instruct   bitblas float16  uint4b  16    2048         128  244.555962
NVIDIA-L40S  decode cgraph      Qwen/Qwen2.5-Coder-32B-Instruct     mutis float16  uint4b  16    2048         128   30.363808
NVIDIA-L40S  decode cgraph      Qwen/Qwen2.5-Coder-32B-Instruct   bitblas float16  uint2b  16    2048         128  231.472778
NVIDIA-L40S  decode cgraph      Qwen/Qwen2.5-Coder-32B-Instruct     mutis float16  uint2b  16    2048         128   24.119840
NVIDIA-L40S prefill cgraph      Qwen/Qwen2.5-Coder-32B-Instruct   bitblas float16   uint8   1    2048         128 1334.142029
NVIDIA-L40S prefill cgraph      Qwen/Qwen2.5-Coder-32B-Instruct     mutis float16   uint8   1    2048         128 1114.481873
NVIDIA-L40S prefill cgraph      Qwen/Qwen2.5-Coder-32B-Instruct   bitblas float16  uint4b   1    2048         128 1493.365051
NVIDIA-L40S prefill cgraph      Qwen/Qwen2.5-Coder-32B-Instruct     mutis float16  uint4b   1    2048         128 1093.395935
