     device    runner a_dtype     b_dtype  group_size     m    k     n    latency
NVIDIA-L40S torch-f16 float16     float16          -1     1 8192 57344   1.327344
NVIDIA-L40S quant-llm float16 float6_e3m2          -1     1 8192 57344   0.546704
NVIDIA-L40S     mutis float16 float6_e3m2          -1     1 8192 57344   0.476416
NVIDIA-L40S    triton float16      uint4b         128     1 8192 57344   0.818608
NVIDIA-L40S   bitblas float16      uint4b         128     1 8192 57344   0.414944
NVIDIA-L40S     mutis float16      uint4b         128     1 8192 57344   0.345488
NVIDIA-L40S torch-f16 float16     float16          -1     4 8192 57344   1.355824
NVIDIA-L40S torch-f16 float16     float16          -1     4 8192 57344   1.355824
NVIDIA-L40S quant-llm float16 float6_e3m2          -1     4 8192 57344   0.547712
NVIDIA-L40S quant-llm float16 float6_e3m2          -1     4 8192 57344   0.547712
NVIDIA-L40S     mutis float16 float6_e3m2          -1     4 8192 57344   0.480688
NVIDIA-L40S     mutis float16 float6_e3m2          -1     4 8192 57344   0.480688
NVIDIA-L40S    triton float16      uint4b         128     4 8192 57344   0.819200
NVIDIA-L40S    triton float16      uint4b         128     4 8192 57344   0.819200
NVIDIA-L40S   bitblas float16      uint4b         128     4 8192 57344   1.611712
NVIDIA-L40S   bitblas float16      uint4b         128     4 8192 57344   1.611712
NVIDIA-L40S     mutis float16      uint4b         128     4 8192 57344   0.347456
NVIDIA-L40S     mutis float16      uint4b         128     4 8192 57344   0.347456
NVIDIA-L40S torch-f16 float16     float16          -1     8 8192 57344   1.356656
NVIDIA-L40S torch-f16 float16     float16          -1     8 8192 57344   1.356656
NVIDIA-L40S quant-llm float16 float6_e3m2          -1     8 8192 57344   0.547872
NVIDIA-L40S quant-llm float16 float6_e3m2          -1     8 8192 57344   0.547872
NVIDIA-L40S     mutis float16 float6_e3m2          -1     8 8192 57344   0.485008
NVIDIA-L40S     mutis float16 float6_e3m2          -1     8 8192 57344   0.485008
NVIDIA-L40S    triton float16      uint4b         128     8 8192 57344   0.822272
NVIDIA-L40S    triton float16      uint4b         128     8 8192 57344   0.822272
NVIDIA-L40S   bitblas float16      uint4b         128     8 8192 57344   8.345376
NVIDIA-L40S   bitblas float16      uint4b         128     8 8192 57344   8.345376
NVIDIA-L40S     mutis float16      uint4b         128     8 8192 57344   0.348768
NVIDIA-L40S     mutis float16      uint4b         128     8 8192 57344   0.348768
NVIDIA-L40S torch-f16 float16     float16          -1    16 8192 57344   1.357568
NVIDIA-L40S quant-llm float16 float6_e3m2          -1    16 8192 57344   0.549344
NVIDIA-L40S     mutis float16 float6_e3m2          -1    16 8192 57344   0.485680
NVIDIA-L40S    triton float16      uint4b         128    16 8192 57344   0.827712
NVIDIA-L40S   bitblas float16      uint4b         128    16 8192 57344   1.566864
NVIDIA-L40S     mutis float16      uint4b         128    16 8192 57344   0.349152
NVIDIA-L40S torch-f16 float16     float16          -1  2048 8192 57344  13.257008
NVIDIA-L40S torch-f16 float16     float16          -1  2048 8192 57344  13.257008
NVIDIA-L40S quant-llm float16 float6_e3m2          -1  2048 8192 57344  16.527728
NVIDIA-L40S quant-llm float16 float6_e3m2          -1  2048 8192 57344  16.527728
NVIDIA-L40S     mutis float16 float6_e3m2          -1  2048 8192 57344  15.224656
NVIDIA-L40S     mutis float16 float6_e3m2          -1  2048 8192 57344  15.224656
NVIDIA-L40S    triton float16      uint4b         128  2048 8192 57344  18.696799
NVIDIA-L40S    triton float16      uint4b         128  2048 8192 57344  18.696799
NVIDIA-L40S   bitblas float16      uint4b         128  2048 8192 57344  21.230960
NVIDIA-L40S   bitblas float16      uint4b         128  2048 8192 57344  21.230960
NVIDIA-L40S     mutis float16      uint4b         128  2048 8192 57344  15.092208
NVIDIA-L40S     mutis float16      uint4b         128  2048 8192 57344  15.092208
NVIDIA-L40S torch-f16 float16     float16          -1  4096 8192 57344  26.435328
NVIDIA-L40S torch-f16 float16     float16          -1  4096 8192 57344  26.435328
NVIDIA-L40S quant-llm float16 float6_e3m2          -1  4096 8192 57344  32.752096
NVIDIA-L40S quant-llm float16 float6_e3m2          -1  4096 8192 57344  32.752096
NVIDIA-L40S     mutis float16 float6_e3m2          -1  4096 8192 57344  28.401216
NVIDIA-L40S     mutis float16 float6_e3m2          -1  4096 8192 57344  28.401216
NVIDIA-L40S    triton float16      uint4b         128  4096 8192 57344  36.681280
NVIDIA-L40S    triton float16      uint4b         128  4096 8192 57344  36.681280
NVIDIA-L40S   bitblas float16      uint4b         128  4096 8192 57344  42.062033
NVIDIA-L40S   bitblas float16      uint4b         128  4096 8192 57344  42.062033
NVIDIA-L40S     mutis float16      uint4b         128  4096 8192 57344  28.268560
NVIDIA-L40S     mutis float16      uint4b         128  4096 8192 57344  28.268560
NVIDIA-L40S torch-f16 float16     float16          -1  8192 8192 57344  52.713520
NVIDIA-L40S torch-f16 float16     float16          -1  8192 8192 57344  52.713520
NVIDIA-L40S quant-llm float16 float6_e3m2          -1  8192 8192 57344  65.499069
NVIDIA-L40S quant-llm float16 float6_e3m2          -1  8192 8192 57344  65.499069
NVIDIA-L40S     mutis float16 float6_e3m2          -1  8192 8192 57344  54.679825
NVIDIA-L40S     mutis float16 float6_e3m2          -1  8192 8192 57344  54.679825
NVIDIA-L40S    triton float16      uint4b         128  8192 8192 57344  72.664864
NVIDIA-L40S    triton float16      uint4b         128  8192 8192 57344  72.664864
NVIDIA-L40S   bitblas float16      uint4b         128  8192 8192 57344  83.879406
NVIDIA-L40S   bitblas float16      uint4b         128  8192 8192 57344  83.879406
NVIDIA-L40S     mutis float16      uint4b         128  8192 8192 57344  54.546848
NVIDIA-L40S     mutis float16      uint4b         128  8192 8192 57344  54.546848
NVIDIA-L40S torch-f16 float16     float16          -1 12288 8192 57344  79.003616
NVIDIA-L40S torch-f16 float16     float16          -1 12288 8192 57344  79.003616
NVIDIA-L40S quant-llm float16 float6_e3m2          -1 12288 8192 57344  98.244896
NVIDIA-L40S quant-llm float16 float6_e3m2          -1 12288 8192 57344  98.244896
NVIDIA-L40S     mutis float16 float6_e3m2          -1 12288 8192 57344  80.975777
NVIDIA-L40S     mutis float16 float6_e3m2          -1 12288 8192 57344  80.975777
NVIDIA-L40S    triton float16      uint4b         128 12288 8192 57344 109.085987
NVIDIA-L40S    triton float16      uint4b         128 12288 8192 57344 109.085987
NVIDIA-L40S   bitblas float16      uint4b         128 12288 8192 57344 125.678589
