     device    runner a_dtype     b_dtype  group_size  m     k     n  latency
NVIDIA-L40S torch-f16 float16     float16          -1  1  8192  8192 0.258208
NVIDIA-L40S    triton float16       uint8         128  1  8192  8192 0.150928
NVIDIA-L40S   bitblas float16       uint8         128  1  8192  8192 0.119328
NVIDIA-L40S     mutis float16       uint8         128  1  8192  8192 0.105952
NVIDIA-L40S quant-llm float16 float6_e3m2          -1  1  8192  8192 0.141664
NVIDIA-L40S     mutis float16 float6_e3m2          -1  1  8192  8192 0.081968
NVIDIA-L40S    triton float16      uint4b         128  1  8192  8192 0.155648
NVIDIA-L40S   bitblas float16      uint4b         128  1  8192  8192 0.062624
NVIDIA-L40S     mutis float16      uint4b         128  1  8192  8192 0.062528
NVIDIA-L40S   bitblas float16      uint2b         128  1  8192  8192 0.047200
NVIDIA-L40S     mutis float16      uint2b         128  1  8192  8192 0.043712
NVIDIA-L40S   bitblas float16      uint1b         128  1  8192  8192 0.040800
NVIDIA-L40S     mutis float16      uint1b         128  1  8192  8192 0.036864
NVIDIA-L40S    marlin float16       int4b         128  1  8192  8192 0.065376
NVIDIA-L40S     mutis float16       int4b         128  1  8192  8192 0.060784
NVIDIA-L40S torch-f16 float16     float16          -1  1  8192 57344 1.327344
NVIDIA-L40S    triton float16       uint8         128  1  8192 57344 0.774464
NVIDIA-L40S   bitblas float16       uint8         128  1  8192 57344 0.728928
NVIDIA-L40S     mutis float16       uint8         128  1  8192 57344 0.648064
NVIDIA-L40S quant-llm float16 float6_e3m2          -1  1  8192 57344 0.546704
NVIDIA-L40S     mutis float16 float6_e3m2          -1  1  8192 57344 0.476416
NVIDIA-L40S    triton float16      uint4b         128  1  8192 57344 0.818608
NVIDIA-L40S   bitblas float16      uint4b         128  1  8192 57344 0.414944
NVIDIA-L40S     mutis float16      uint4b         128  1  8192 57344 0.345488
NVIDIA-L40S   bitblas float16      uint2b         128  1  8192 57344 0.289056
NVIDIA-L40S     mutis float16      uint2b         128  1  8192 57344 0.207488
NVIDIA-L40S   bitblas float16      uint1b         128  1  8192 57344 0.241184
NVIDIA-L40S     mutis float16      uint1b         128  1  8192 57344 0.193120
NVIDIA-L40S    marlin float16       int4b         128  1  8192 57344 0.341952
NVIDIA-L40S     mutis float16       int4b         128  1  8192 57344 0.334880
NVIDIA-L40S torch-f16 float16     float16          -1  1 28672  8192 0.779504
NVIDIA-L40S    triton float16       uint8         128  1 28672  8192 0.533200
NVIDIA-L40S   bitblas float16       uint8         128  1 28672  8192 0.408608
NVIDIA-L40S     mutis float16       uint8         128  1 28672  8192 0.333968
NVIDIA-L40S quant-llm float16 float6_e3m2          -1  1 28672  8192 0.484560
NVIDIA-L40S     mutis float16 float6_e3m2          -1  1 28672  8192 0.246016
NVIDIA-L40S    triton float16      uint4b         128  1 28672  8192 0.527744
NVIDIA-L40S   bitblas float16      uint4b         128  1 28672  8192 0.228064
NVIDIA-L40S     mutis float16      uint4b         128  1 28672  8192 0.180816
NVIDIA-L40S   bitblas float16      uint2b         128  1 28672  8192 0.137376
NVIDIA-L40S     mutis float16      uint2b         128  1 28672  8192 0.113120
NVIDIA-L40S   bitblas float16      uint1b         128  1 28672  8192 0.128384
NVIDIA-L40S     mutis float16      uint1b         128  1 28672  8192 0.102272
NVIDIA-L40S    marlin float16       int4b         128  1 28672  8192 0.182672
NVIDIA-L40S     mutis float16       int4b         128  1 28672  8192 0.175520
NVIDIA-L40S torch-f16 float16     float16          -1 16  8192  8192 0.310656
NVIDIA-L40S    triton float16       uint8         128 16  8192  8192 0.152432
NVIDIA-L40S   bitblas float16       uint8         128 16  8192  8192 0.205072
NVIDIA-L40S     mutis float16       uint8         128 16  8192  8192 0.107296
NVIDIA-L40S quant-llm float16 float6_e3m2          -1 16  8192  8192 0.152240
NVIDIA-L40S     mutis float16 float6_e3m2          -1 16  8192  8192 0.082912
NVIDIA-L40S    triton float16      uint4b         128 16  8192  8192 0.178672
NVIDIA-L40S   bitblas float16      uint4b         128 16  8192  8192 0.620064
NVIDIA-L40S     mutis float16      uint4b         128 16  8192  8192 0.063264
NVIDIA-L40S   bitblas float16      uint2b         128 16  8192  8192 0.602112
NVIDIA-L40S     mutis float16      uint2b         128 16  8192  8192 0.044112
NVIDIA-L40S   bitblas float16      uint1b         128 16  8192  8192 0.597712
NVIDIA-L40S     mutis float16      uint1b         128 16  8192  8192 0.037808
NVIDIA-L40S    marlin float16       int4b         128 16  8192  8192 0.066944
NVIDIA-L40S     mutis float16       int4b         128 16  8192  8192 0.061696
NVIDIA-L40S torch-f16 float16     float16          -1 16  8192 57344 1.357568
NVIDIA-L40S    triton float16       uint8         128 16  8192 57344 0.776064
NVIDIA-L40S   bitblas float16       uint8         128 16  8192 57344 0.860800
NVIDIA-L40S     mutis float16       uint8         128 16  8192 57344 0.658528
NVIDIA-L40S quant-llm float16 float6_e3m2          -1 16  8192 57344 0.549344
NVIDIA-L40S     mutis float16 float6_e3m2          -1 16  8192 57344 0.485680
NVIDIA-L40S    triton float16      uint4b         128 16  8192 57344 0.827712
NVIDIA-L40S   bitblas float16      uint4b         128 16  8192 57344 1.566864
NVIDIA-L40S     mutis float16      uint4b         128 16  8192 57344 0.349152
NVIDIA-L40S   bitblas float16      uint2b         128 16  8192 57344 1.338336
NVIDIA-L40S     mutis float16      uint2b         128 16  8192 57344 0.210848
NVIDIA-L40S   bitblas float16      uint1b         128 16  8192 57344 1.304736
NVIDIA-L40S     mutis float16      uint1b         128 16  8192 57344 0.195776
NVIDIA-L40S    marlin float16       int4b         128 16  8192 57344 0.351792
NVIDIA-L40S     mutis float16       int4b         128 16  8192 57344 0.338768
NVIDIA-L40S torch-f16 float16     float16          -1 16 28672  8192 0.744416
NVIDIA-L40S    triton float16       uint8         128 16 28672  8192 0.535808
NVIDIA-L40S   bitblas float16       uint8         128 16 28672  8192 0.627104
NVIDIA-L40S     mutis float16       uint8         128 16 28672  8192 0.336000
NVIDIA-L40S quant-llm float16 float6_e3m2          -1 16 28672  8192 0.516784
NVIDIA-L40S     mutis float16 float6_e3m2          -1 16 28672  8192 0.249552
NVIDIA-L40S    triton float16      uint4b         128 16 28672  8192 0.620128
NVIDIA-L40S   bitblas float16      uint4b         128 16 28672  8192 2.206160
NVIDIA-L40S     mutis float16      uint4b         128 16 28672  8192 0.182416
NVIDIA-L40S   bitblas float16      uint2b         128 16 28672  8192 2.059024
NVIDIA-L40S     mutis float16      uint2b         128 16 28672  8192 0.116288
NVIDIA-L40S   bitblas float16      uint1b         128 16 28672  8192 2.049264
NVIDIA-L40S     mutis float16      uint1b         128 16 28672  8192 0.103920
